iter	Passed	Remaining
773	51780	82019
774	51848	81954
775	51918	81892
776	51983	81821
777	52052	81758
778	52119	81692
779	52190	81630
780	52249	81552
781	52316	81485
782	52384	81419
783	52451	81353
784	52520	81289
785	52590	81227
786	52658	81162
787	52727	81098
788	52792	81028
789	52861	80965
790	52930	80900
791	52992	80826
792	53063	80766
793	53130	80699
794	53201	80638
795	53268	80572
796	53335	80505
797	53409	80448
798	53475	80381
799	53545	80318
800	53610	80248
801	53680	80186
802	53754	80129
803	53836	80085
804	53912	80031
805	53989	79979
806	54057	79913
807	54125	79849
808	54193	79783
809	54263	79720
810	54334	79659
811	54402	79594
812	54471	79529
813	54538	79462
814	54610	79402
815	54683	79344
816	54750	79277
817	54823	79219
818	54895	79160
819	54967	79099
820	55038	79038
821	55108	78975
822	55174	78907
823	55242	78841
824	55306	78769
825	55378	78709
826	55444	78641
827	55515	78579
828	55586	78518
829	55649	78445
830	55714	78375
831	55782	78309
832	55844	78235
833	55913	78171
834	55980	78104
835	56044	78033
836	56111	77966
837	56176	77896
838	56248	77835
839	56313	77765
840	56383	77703
841	56446	77631
842	56508	77557
843	56579	77494
844	56649	77431
845	56713	77360
846	56783	77298
847	56851	77231
848	56920	77167
849	56986	77099
850	57055	77035
851	57123	76969
852	57188	76899
853	57257	76835
854	57330	76775
855	57401	76714
856	57463	76640
857	57530	76572
858	57597	76505
859	57660	76433
860	57724	76362
861	57795	76300
862	57856	76225
863	57922	76157
864	57992	76093
865	58056	76022
866	58127	75961
867	58188	75885
868	58249	75811
869	58318	75746
870	58387	75681
871	58454	75615
872	58522	75550
873	58591	75484
874	58653	75411
875	58718	75342
876	58783	75272
877	58851	75207
878	58916	75137
879	58982	75068
880	59049	75001
881	59115	74933
882	59181	74865
883	59250	74800
884	59321	74738
885	59391	74674
886	59457	74606
887	59522	74537
888	59587	74468
889	59652	74398
890	59722	74335
891	59790	74269
892	59859	74204
893	59931	74143
894	59995	74072
895	60059	74002
896	60127	73935
897	60190	73864
898	60254	73793
899	60319	73724
900	60382	73652
901	60449	73584
902	60518	73520
903	60586	73454
904	60657	73391
905	60726	73327
906	60793	73260
907	60858	73191
908	60928	73127
909	60993	73057
910	61062	72993
911	61128	72925
912	61194	72857
913	61264	72793
914	61330	72725
915	61402	72663
916	61466	72593
917	61537	72530
918	61603	72463
919	61670	72396
920	61739	72330
921	61805	72263
922	61873	72197
923	61943	72132
924	62012	72068
925	62073	71994
926	62141	71928
927	62212	71866
928	62283	71804
929	62346	71731
930	62412	71663
931	62479	71596
932	62542	71525
933	62609	71458
934	62679	71394
935	62743	71323
936	62813	71260
937	62885	71199
938	62948	71127
939	63016	71061
940	63087	70998
941	63154	70930
942	63218	70861
943	63287	70796
944	63352	70727
945	63421	70661
946	63491	70598
947	63559	70532
948	63627	70466
949	63694	70399
950	63761	70331
951	63827	70263
952	63899	70202
953	63970	70139
954	64045	70081
955	64112	70013
956	64176	69943
957	64241	69873
958	64306	69805
959	64377	69741
960	64445	69676
961	64515	69612
962	64582	69544
963	64653	69482
964	64723	69418
965	64790	69351
966	64858	69284
967	64925	69217
968	64995	69153
969	65057	69081
970	65124	69014
971	65189	68945
972	65259	68881
973	65329	68816
974	65390	68744
975	65453	68672
976	65525	68610
977	65590	68541
978	65662	68479
979	65729	68411
980	65795	68343
